"Code","Description","Name","Format",
"auction","Auction Store","Auction & Auction Store Check-In","Auction",
"auction","Auction Store","Auction and Auction Store Check-In","Auction",
"auction","Auction Store","Auction Check-In","Auction",
"auction","Auction Store","Auction Store",,
"auction","Auction Store","Auction Store Opens","Auction",
"auction","Auction Store","BPA Auction Store",,
"auction","Auction Store","BPA Games Auction",,
"auction","Auction Store","No Shipping Math Trade",,
"auction","Auction Store","WBC Auction","Auction",
"bcbs","Black Cross"," Blue Sky","Black Cross"," Blue Sky"
"cep","Civilization Expansion Project","Civilization Expansion Project",,
"dinner","Dinner","Texas Roadhouse Special",,
"gaming","Open Gaming","Library Closed",,
"gaming","Open Gaming","Library Closed-ALL GAMES DUE",,
"gaming","Open Gaming","Open Gaming",,
"gaming","Open Gaming","Open Gaming & Library",,
"gaming","Open Gaming","Open Gaming & Library Open",,
"gaming","Open Gaming","Open Gaming Only until 5 PM",,
"junior","Junior Events",,"Junior",
"meeting","Meetings",,"Meeting",
"meeting","Meetings",,"Meeeting",
"panels","Panels",,"Panel",
"preview","Preview",,"Preview",
"registration","Registration","Registration",,
"registration","Registration","Registration - turn in all Event paperwork",,
"registration","Registration","Registration - turn in all Event paperwork & pick up prizes ASAP",,
"registration","Registration","Registration & Prizes",,
"registration","Registration","Registration Closes",,
"registration","Registration","Registration Closes - See You Next Year on Aug. 4  10, 2014",,
"sampler","Sampler","Sampler","Sampler",
"sampler","Sampler Showcase","Sampler Showcase","Sampler",
"seminar","Seminars",,"Seminar",
"sog","Scheduled Open Gaming","A Study in Emerald 5P",,
"sog","Scheduled Open Gaming","Aerial Assault SOG",,
"sog","Scheduled Open Gaming","Canterbury 4P",,
"sog","Scheduled Open Gaming","Cinque Terre SOG",,
"sog","Scheduled Open Gaming","Decathlon SOG",,
"sog","Scheduled Open Gaming","Friedrich 4P",,
"sog","Scheduled Open Gaming","Friedrich 4P",,
"sog","Scheduled Open Gaming","Gangsters SOG",,
"sog","Scheduled Open Gaming","Gipsy King 10P",,
"sog","Scheduled Open Gaming","Keyflower 3P",,
"sog","Scheduled Open Gaming","Lancaster SOG",,
"sog","Scheduled Open Gaming","Quartermaster General SOG",,
"sog","Scheduled Open Gaming","Saint Petersburg SOG",,
"sog","Scheduled Open Gaming","Speicherstadt 10P",,
"sog","Scheduled Open Gaming","Sword of Rome 5P",,
"sog","Scheduled Open Gaming","Sword of Rome SOG",,
"sog","Scheduled Open Gaming","Virgin Queen SOG",,
"sog","Scheduled Open Gaming","Wallenstein 5P",,
"sog","Scheduled Open Gaming","Yedo 5P",,
"vendors","Vendors","Vendors Area Closes",,
"vendors","Vendors","Vendors Area Opens",,
"witswagers","Wits & Wagers","Wits & Wagers Game Show","MP Game","Wits & Wagers 1/1"
