Boardgame Players Assocition,,,,,,,,,,,,,,,,,,,
2018 WBC Schedule,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Schedule by Game,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Date,Day,Day Code,Time,Event Code,Event,Type,Round/Heat,Prize Level,Class,Format,Style,Duration,Location,GM,Category,,,,
7/21/18,First Saturday,FSa,12,7WS,7 Wonders,Tournament,D1/1,--,--,--,--,1,Annex 1,"Shea, Philip",Century,,,,
7/21/18,First Saturday,FSa,14,7WS,7 Wonders,Tournament,H1/3,3,B,HMWG,Scheduled,2,Seasons,"Shea, Philip",Century,,,,
7/21/18,First Saturday,FSa,18,7WS,7 Wonders,Tournament,H2/3,3,B,HMWG,Scheduled,2,Seasons,"Shea, Philip",Century,,,,
7/22/18,First Sunday,FSu,9,7WS,7 Wonders,Tournament,H3/3,3,B,HMWG,Scheduled,2,Seasons,"Shea, Philip",Century,,,,
7/22/18,First Sunday,FSu,12,7WS,7 Wonders,Tournament,QF,3,B,HMWG,Scheduled,2,Seasons,"Shea, Philip",Century,,,,
7/22/18,First Sunday,FSu,14,7WS,7 Wonders,Tournament,SF,3,B,HMWG,Scheduled,2,Seasons,"Shea, Philip",Century,,,,
7/23/18,Monday,Mo,9,7WS,7 Wonders,Tournament,F,3,B,HMWG,Scheduled,2,Laurel,"Shea, Philip",Century,,,,
7/22/18,First Sunday,FSu,12,7WD,7 Wonders Duel,Tournament,D1/1,--,--,--,--,1,Annex 3,"Githens, Josh",Trial,,,,
7/22/18,First Sunday,FSu,13,7WD,7 Wonders Duel,Tournament,H1/4,1,B,HMWG,Scheduled,2,Seasons,"Githens, Josh",Trial,,,,
7/22/18,First Sunday,FSu,15,7WD,7 Wonders Duel,Tournament,H2/4,1,B,HMWG,Scheduled,2,Seasons,"Githens, Josh",Trial,,,,
7/22/18,First Sunday,FSu,17,7WD,7 Wonders Duel,Tournament,H3/4,1,B,HMWG,Scheduled,2,Seasons,"Githens, Josh",Trial,,,,
7/22/18,First Sunday,FSu,19,7WD,7 Wonders Duel,Tournament,H4/4,1,B,HMWG,Scheduled,2,Seasons,"Githens, Josh",Trial,,,,
7/23/18,Monday,Mo,17,7WD,7 Wonders Duel,Tournament,QF,1,B,HMWG,Scheduled,2,Wintergreen,"Githens, Josh",Trial,,,,
7/23/18,Monday,Mo,19,7WD,7 Wonders Duel,Tournament,SF,1,B,HMWG,Scheduled,2,Director's One,"Githens, Josh",Trial,,,,
7/23/18,Monday,Mo,21,7WD,7 Wonders Duel,Tournament,F,1,B,HMWG,Scheduled,2,Director's One,"Githens, Josh",Trial,,,,
7/21/18,First Saturday,FSa,16,8VK,878 Vikings,Tournament,D1/2,--,--,--,--,1,Annex 4,"Beall, Scott",Trial,,,,
7/21/18,First Sunday,FSu,17,8VK,878 Vikings,Tournament,D2/2,--,--,--,--,1,Annex 4,"Beall, Scott",Trial,,,,
