"Code","Name","Grognard","Duration","PlayLate"
"5TR","Five Tribes",,,,,,,,,,,,,,,,,,,,
"775","1775: Rebellion",,,"once",1775,,,,,,,,,,,,,,,,
"989","1989: Dawn of Freedom",,,"all",1989,,,,,,,,,,,,,,,,
"7WD","7 Wonders Duel",,,,,,,,,,,,,,,,,,,,
"7WS","7 Wonders",,,,,,,,,,,,,,,,,,,,
"8XX","18XX",,,,1830,,,,,,,,,,,,,,,,
"A_S","Arctic Scavengers",,,,,,,,,,,,,,,,,,,,
"A&A","Axis & Allies",,,,"A&A",,,,,,,,,,,,,,,,
"ABN","Air Baron",,,,,,,,,,,,,,,,,,,,
"ACQ","Acquire",,,,,,,,,,,,,,,,,,,,
"ACS","Atlantic Storm",,,,,,,,,,,,,,,,,,,,
"ACV","Advanced Civilization",,,,"Advanced Civilizaton",,,,,,,,,,,,,,,,
"ADV","Adel Verpflichtet",,,,,,,,,,,,,,,,,,,,
"AFK","Afrika Korps",104,36,,,,,,,,,,,,,,,,,,
"AGE","Through the Ages",,,"once",,,,,,,,,,,,,,,,,
"AGR","Agricola",,,,,,,,,,,,,,,,,,,,
"AHD","A House Divided",,,"all","House Divided",,,,,,,,,,,,,,,,
"ALH","Alhambra",,,,"Alhambre",,,,,,,,,,,,,,,,
"AMR","Amun Re",,,,"Amun-Re",,,,,,,,,,,,,,,,
"ANZ","Anzio",104,36,,,,,,,,,,,,,,,,,,
"AOA","Ace of Aces",,,,"Ace of Aces Circus",,,,,,,,,,,,,,,,
"AOR","Age of Renaissance",,,,,,,,,,,,,,,,,,,,
"ATS","Attack Sub",,,,,,,,,,,,,,,,,,,,
"AUC","Auction",,,,,,,,,,,,,,,,,,,,
"AUT","Automobile",,,,,,,,,,,,,,,,,,,,
"B17","B-17",,,,"B17",,,,,,,,,,,,,,,,
"B&O","Baltimore & Ohio",,,,,,,,,,,,,,,,,,,,
"BAR","Battles of the American Revolution",,,"once","Battles Am. Revolution","Battles of Am. Revolution","Battles of Am Revolution","Battles Am Revolution","Battles American Rev","Battles of Am Rev",,,,,,,,,,,
"BAT","Battle Line",,,,"Battleline",,,,,,,,,,,,,,,,
"BBS","Brawlin' Battleships",,,,"Brawling Battleship Steel","Brawling Battleships Steel",,,,,,,,,,,,,,,
"BCY","Battle Cry",,,,,,,,,,,,,,,,,,,,
"BKN","Breakout: Normandy",,,,"Breakout Normandy",,,,,,,,,,,,,,,,
"BRI","Britannia",,,,,,,,,,,,,,,,,,,,
"BRS","Brass",,,,,,,,,,,,,,,,,,,,
"BWD","Bitter Woods",104,,,,,,,,,,,,,,,,,,,
"C&K","Settlers of Catan: Cities & Knights",,,,"Catan; Cities & Knights","Catan: Cities & Knights",,,,,,,,,,,,,,,
"CAR","Carcassonne",,,,,,,,,,,,,,,,,,,,
"CBC","Combat Commander",,,,,,,,,,,,,,,,,,,,
"CCA","Commands & Colors: Ancients",,,,"Commands & Colors Ancients","C&C Ancients","C & C Ancients",,,,,,,,,,,,,,
"CCN","Commands & Colors: Napoleonics",,,,"Commands & Colors Napoleonics","C&C Napoleonics","C & C Napoleonics",,,,,,,,,,,,,,
"CHL","Churchill",,,,,,,,,,,,,,,,,,,,
"CIS","Counter Insurgency Series",,,,"COIN series A Distant Plain","COIN series Andean Abyss","COIN series Cuba Libre",,,,,,,,,,,,,,
"CMK","Castles of Mad King Ludwig",,,,"Castles Mad King Ludwig",,,,,,,,,,,,,,,,
"CMS","Circus Maximus",,,,,,,,,,,,,,,,,,,,
"CNC","Concordia",,,,,,,,,,,,,,,,,,,,
"CNS","Can't Stop",,,"all",,,,,,,,,,,,,,,,,
"COB","Castles of Burgundy",,,,,,,,,,,,,,,,,,,,
"COH","Conflict of Heroes",,,,,,,,,,,,,,,,,,,,
"CQP","Conquest of Paradise",,,,,,,,,,,,,,,,,,,,
"CQT","Cinque Terre",,,,,,,,,,,,,,,,,,,,
"DIP","Diplomacy",,,,,,,,,,,,,,,,,,,,
"DOM","Dominion",,,,,,,,,,,,,,,,,,,,
"DSP","Dominant Species",,,,,,,,,,,,,,,,,,,,
"DUN","Dune",,,,,,,,,,,,,,,,,,,,
"E&T","Euphrat & Tigris",,,,"Tigris & Euphrates",,,,,,,,,,,,,,,,
"EGZ","Egizia",,,,,,,,,,,,,,,,,,,,
"EIS","Enemy In Sight",,,,"Enemy in Sight",,,,,,,,,,,,,,,,
