Code,Name,Grognard,Duration,PlayLate,Alt1,Alt2,Alt3,Alt4,Alt5,Alt6,,,,,,,,,,,
775,1775: Rebellion,,,,1775,,,,,,,,,,,,,,,,
776,1776,,26,,,,,,,,,,,,,,,,,,
7WS,7 Wonders,,,,,,,,,,,,,,,,,,,,
812,1812,,,,War of 1812,,,,,,,,,,,,,,,,
8XX,18XX,,,,1830,,,,,,,,,,,,,,,,
960,1960: Making of the President,,,,1960,1960;,,,,,,,,,,,,,,,
989,1989: Dawn of Freedom,,,,1989,,,,,,,,,,,,,,,,
A&A,Axis & Allies,,,,A&A,,,,,,,,,,,,,,,,
ABN,Air Baron,,,,,,,,,,,,,,,,,,,,
ACQ,Acquire,,,,,,,,,,,,,,,,,,,,
ACS,Atlantic Storm,,,,,,,,,,,,,,,,,,,,
ACV,Advanced Civilization,,,,Advanced Civilizaton,,,,,,,,,,,,,,,,
ADV,Adel Verpflichtet,,,,,,,,,,,,,,,,,,,,
AE3,Age of Empires III,,,,,,,,,,,,,,,,,,,,
AFK,Afrika Korps,55,36,,,,,,,,,,,,,,,,,,
AGE,Through the Ages,,,once,,,,,,,,,,,,,,,,,
AGR,Agricola,,,,,,,,,,,,,,,,,,,,
AHD,A House Divided,,,all,House Divided,,,,,,,,,,,,,,,,
ALH,Alhambra,,,,Alhambre,,,,,,,,,,,,,,,,
AMR,Amun Re,,,,Amun-Re,,,,,,,,,,,,,,,,
ANZ,Anzio,55,36,,,,,,,,,,,,,,,,,,
AOA,Ace of Aces,,,,Ace of Aces Circus,,,,,,,,,,,,,,,,
AOR,Age of Renaissance,,,,,,,,,,,,,,,,,,,,
AOS,Age of Steam,,,,,,,,,,,,,,,,,,,,
ASK,ASL Starter Kit,,,,,,,,,,,,,,,,,,,,
ATA,Amateurs to Arms,,,,,,,,,,,,,,,,,,,,
ATS,Attack Sub,,,,,,,,,,,,,,,,,,,,
AUC,Auction,,,,,,,,,,,,,,,,,,,,
AUT,Automobile,,,,,,,,,,,,,,,,,,,,
AVU,Adventurers,,,,,,,,,,,,,,,,,,,,
B&O,Baltimore & Ohio,,,,,,,,,,,,,,,,,,,,
B17,B-17,,,,B17,,,,,,,,,,,,,,,,
B81,Battle of Bulge '81,,,,Bulge '81,Battle of Bulge,Battle of the Bulge,,,,,,,,,,,,,,
BAR,Battles of the American Revolution,,,,Battles Am. Revolution,Battles of Am. Revolution,Battles of Am Revolution,Battles Am Revolution,Battles American Rev,Battles of Am Rev,,,,,,,,,,,
BAT,Battle Line,,,,Battleline,,,,,,,,,,,,,,,,
BBS,Brawlin' Battleships,,,,Brawling Battleship Steel,Brawling Battleships Steel,,,,,,,,,,,,,,,
BCY,Battle Cry,,,,,,,,,,,,,,,,,,,,
BKN,Breakout: Normandy,,,,Breakout Normandy,,,,,,,,,,,,,,,,
BLR,Battle Lore,,,,BattleLore,,,,,,,,,,,,,,,,
BLS,Battlelines,,,,,,,,,,,,,,,,,,,,
BNW,BATTLE: Napoleonic Wars,,,,Battle: Napoleonic Wars,,,,,,,,,,,,,,,,
BP2,Beep Beep,,,,Beep, Beep,,,,,,,,,,,,,,,
BRI,Britannia,,,,,,,,,,,,,,,,,,,,
BRS,Brass,,,,,,,,,,,,,,,,,,,,
BWD,Bitter Woods,,,,,,,,,,,,,,,,,,,,
C&K,Settlers of Catan: Cities & Knights,,,,Catan; Cities & Knights,Catan: Cities & Knights,,,,,,,,,,,,,,,
CAR,Carcassonne,,,,,,,,,,,,,,,,,,,,
CBC,Combat Commander,,,,,,,,,,,,,,,,,,,,
CCA,Commands & Colors: Ancients,,,,Commands & Colors Ancients,C&C Ancients,C & C Ancients,,,,,,,,,,,,,,
CCN,Commands & Colors: Napoleonics,,,,Commands & Colors Napoleonics,C&C Napoleonics,,,,,,,,,,,,,,,
CGW,Caesar's Gaullic Wars,,,,Caesar's Gaulic Wars,,,,,,,,,,,,,,,,
CHX,Chicago Express,,,,,,,,,,,,,,,,,,,,
CIS,Counter Insurgency Series,,,,COIN series A Distant Plain,COIN series Andean Abyss,COIN series Cuba Libre,,,,,,,,,,,,,,
CM8,Campaign Manager 2008,,,,Campaign Manager,,,,,,,,,,,,,,,,
CMS,Circus Maximus,,,,,,,,,,,,,,,,,,,,
CNC,Concordia,,,,,,,,,,,,,,,,,,,,
CNS,Can't Stop,,,all,,,,,,,,,,,,,,,,,
COB,Castles of Burgundy,,,,,,,,,,,,,,,,,,,,
COH,Conflict of Heroes,,,,,,,,,,,,,,,,,,,,
CQF,Cavemen: Quest for Fire,,,,Caveman; Quest for Fire,,,,,,,,,,,,,,,,
CQP,Conquest of Paradise,,,,,,,,,,,,,,,,,,,,
CQT,Cinque Terre,,,,,,,,,,,,,,,,,,,,
CRX,Crusader Rex,,,,,,,,,,,,,,,,,,,,
CYC,Copycat,,,,,,,,,,,,,,,,,,,,
