"Code","Description","Name","Format",
"auction","Auction Store","Auction & Auction Store Check-In","Auction",
"auction","Auction Store","Auction Check-In","Auction",
"auction","Auction Store","WBC Auction","Auction",
"auction","Auction Store","Auction Store Opens","Auction",
"auction","Auction Store","Auction and Auction Store Check-In","Auction",
"bcbs","Black Cross"," Blue Sky","Black Cross"," Blue Sky"
"cep","Civilization Expansion Project","Civilization Expansion Project",,
"gaming","Open Gaming","Library Closed",,
"gaming","Open Gaming","Library Closed-ALL GAMES DUE",,
"gaming","Open Gaming","Open Gaming",,
"gaming","Open Gaming","Open Gaming & Library",,
"gaming","Open Gaming","Open Gaming & Library Open",,
"gaming","Open Gaming","Open Gaming Only until 5 PM",,
"junior","Junior Events",,"Junior",
"meeting","Meetings",,"Meeting",
"meeting","Meetings",,"Meeeting",
"panels","Panels",,"Panel",
"preview","Preview",,"Preview",
"registration","Registration","Registration",,
"registration","Registration","Registration & Prizes",,
"registration","Registration","Registration - turn in all Event paperwork",,
"registration","Registration","Registration Closes",,
"sampler","Sampler","Sampler","Sampler",
"sampler","Sampler Showcase","Sampler Showcase","Sampler",
"seminar","Seminars",,"Seminar",
"witswagers","Wits & Wagers","Wits & Wagers Game Show","MP Game","Wits & Wagers 1/1"
"registration","Registration","Registration - turn in all Event paperwork & pick up prizes ASAP",,
"registration","Registration","Registration Closes - See You Next Year on Aug. 4  10, 2014",,
"sog","Scheduled Open Gaming","A Study in Emerald 5P",,
"sog","Scheduled Open Gaming","Canterbury 4P",,
"sog","Scheduled Open Gaming","Friedrich 4P",,
"sog","Scheduled Open Gaming","Friedrich 4P",,
"sog","Scheduled Open Gaming","Gipsy King 10P",,
"sog","Scheduled Open Gaming","Keyflower 3P",,
"sog","Scheduled Open Gaming","Speicherstadt 10P",,
"sog","Scheduled Open Gaming","Sword of Rome 5P",,
"sog","Scheduled Open Gaming","Wallenstein 5P",,
"sog","Scheduled Open Gaming","Yedo 5P",,
"sog","Scheduled Open Gaming","Gangsters SOG",,
"sog","Scheduled Open Gaming","Decathlon SOG",,
"vendors","Vendors","Vendors Area Closes",,
"vendors","Vendors","Vendors Area Opens",,
"dinner","Dinner","Texas Roadhouse Special",,
